word,domain,hash
nine,CT,9
nineteen,CT,19
nineteenth,CT,19
ninth,CT,9
noel,CT,noel
northal,CT,northall
nrk,CT,nrk
nv,CT,limited
och,CT,and
one,CT,1
organisation,CT,organization
organizacao,CT,organization
organizacion,CT,organization
orleans,CT,orleans
pbs,CT,pbs
pctures,CT,pictures
pedro,CT,peter
petr,CT,peter
phim,CT,film
pic,CT,picture
pics,CT,pictures
pictuers,CT,pictures
picutres,CT,pictures
pierre,CT,peter
pietro,CT,peter
piotr,CT,peter
pix,CT,pictures
plc,CT,limited
plus,CT,+
pluss,CT,plus
poctures,CT,pictures
pokemon,CT,pokemon
porductions,CT,productions
prodictions,CT,productions
producao,CT,production
produccion,CT,production
producciones,CT,productions
producktion,CT,production
producoes,CT,productions
productions~seven,CT,productions
productons,CT,productions
produktie,CT,production
produkties,CT,productions
produktio,CT,production
produktion,CT,production
produktionen,CT,productions
produktions,CT,productions
produktionsgesellschaft,CT,production
produzione,CT,production
produzioni,CT,productions
pte,CT,limited
pty,CT,limited
pub,CT,publishing
pubs,CT,publishing
pyotr,CT,peter
quebec,CT,quebec
rai,CT,rai
rec,CT,records
recs,CT,records
renee,CT,renee
resume,CT,resume
ricardo,CT,richard
riccardo,CT,richard
richardo,CT,richard
rikhard,CT,richard
roberto,CT,robert
robertus,CT,robert
rtbf,CT,rtbf
rupert,CT,robert
s.r.l.,CT,limited
s.r.o.,CT,limited
sacha,CT,alexander
sandro,CT,alexander
sao,CT,sao
saquenay,CT,saguenay
sasha,CT,alexander
sdn,CT,limited
sdpb,CT,sdpb
sean,CT,john
second,CT,2
serge,CT,sergey
sergei,CT,sergey
seven,CT,7
seventeen,CT,17
seventeenth,CT,17
seventh,CT,7
sfx,CT,effects
shaun,CT,john
shawn,CT,john
sis,CT,sister
six,CT,6
sixteen,CT,16
sixteenth,CT,16
sixth,CT,6
soren,CT,soren
sr,CT,senior
srl,CT,limited
sro,CT,limited
st,CT,saint
ste,CT,sainte
stefan,CT,stephen
stephan,CT,stephen
steven,CT,stephen
svt,CT,svt
sys,CT,systems
tech,CT,technology
telefilm,CT,television
telefilms,CT,television
televisie,CT,television
televisio,CT,television
television,CT,television
televisiona,CT,television
televisione,CT,television
ten,CT,10
tenth,CT,10
third,CT,3
thirteen,CT,13
thirteenth,CT,13
thirtieth,CT,30
thirty,CT,30
three,CT,3
toma,CT,thomas
tomas,CT,thomas
tomek,CT,thomas
tommaso,CT,thomas
toon,CT,cartoon
toons,CT,cartoons
tvc,CT,tvc
tve,CT,tve
twelfth,CT,12
twelve,CT,12
twentieth,CT,20
twenty,CT,20
twenty eight,CT,28
twenty eighth,CT,28
twenty fifth,CT,25
twenty five,CT,25
twenty four,CT,24
twenty fourth,CT,24
twenty nine,CT,29
twenty ninth,CT,29
twenty second,CT,22
twenty seven,CT,27
twenty seventh,CT,27
twenty six,CT,26
twenty sixth,CT,26
twenty third,CT,23
twenty three,CT,23
twenty two,CT,22
twenty-eight,CT,28
twenty-eighth,CT,28
twenty-fifth,CT,25
twenty-first,CT,21
twenty-five,CT,25
twenty-four,CT,24
twenty-fourth,CT,24
twenty-nine,CT,29
twenty-ninth,CT,29
twenty-one,CT,21
twenty-second,CT,22
twenty-seven,CT,27
twenty-seventh,CT,27
twenty-six,CT,26
twenty-sixth,CT,26
twenty-third,CT,23
twenty-three,CT,23
twenty-two,CT,22
twentyeight,CT,28
twentyeighth,CT,28
twentyfifth,CT,25
twentyfirst,CT,21
twentyfive,CT,25
twentyfour,CT,24
twentyfourth,CT,24
twentynine,CT,29
twentyninth,CT,29
twentyone,CT,21
twentysecond,CT,22
twentyseven,CT,27
twentyseventh,CT,27
twentysix,CT,26
twentysixth,CT,26
twentythird,CT,23
twentythree,CT,23
twentytwo,CT,22
two,CT,2
ua,CT,united_artists
uber,CT,uber
uip,CT,uip
und,CT,and
univ,CT,university
vfx,CT,effects
vh1,CT,vh1
vid,CT,video
vids,CT,video
viktor,CT,victor
vitor,CT,victor
vittorio,CT,victor
vs,CT,versus
wgbh,CT,wgbh
wgby,CT,wgby
whro,CT,whro
wilhelm,CT,william
willem,CT,william
wnet,CT,wnet
wttw,CT,wttw
wtvi,CT,wtvi
wwe,CT,wwe
y,CT,and
yakov,CT,jacob
yapim,CT,production
youssef,CT,joseph
yuli,CT,julius
yulyan,CT,julian
yuri,CT,george
yuriy,CT,george
yusuf,CT,joseph
zdf,CT,zdf
zoe,CT,zoe
zorro,CT,zorro
abbie,T,abigail
abby,T,abigail
abbyy,T,abigail
abe,T,abraham
al,T,albert
albie,T,albert
alex,T,alexander
andy,T,andrew
angel,T,angela
angie,T,angela
anna,T,anne
annie,T,anne
ar,T,augmentedreality
archie,T,archibald
art,T,arthur
artie,T,arthur
babs,T,barbara
barb,T,barbara
barbie,T,barbara
bart,T,bartholomew
bea,T,beatrice
becca,T,rebecca
becky,T,rebecca
ben,T,benjamin
benji,T,benjamin
benny,T,benjamin
bert,T,albert
bertie,T,robert
bess,T,elizabeth
beth,T,elizabeth
betsy,T,elizabeth
bette,T,elizabeth
betty,T,elizabeth
bill,T,william
billy,T,william
bob,T,robert
bobby,T,robert
boyz,T,boys
brad,T,bradley
brady,T,bradley
cam,T,cameron
cami,T,camilla
cancelled,T,canceled
cathy,T,catherine
centre,T,center
charlie,T,charles
chas,T,charles
chuck,T,charles
cindy,T,cynthia
cliff,T,clifford
colour,T,color
connie,T,constance
cyber,T,cyber
dan,T,daniel
danny,T,daniel
dave,T,david
davie,T,david
davy,T,david
deb,T,deborah
debbie,T,deborah
dick,T,richard
don,T,donald
donnie,T,donald
dot,T,dorothy
dottie,T,dorothy
drew,T,andrew
ed,T,edward
eddie,T,edward
ellie,T,eleanor
em,T,emily
emmie,T,emily
fantasy,T,fantasy
fran,T,frances
frank,T,francis
frankie,T,francis
fred,T,frederick
freddie,T,frederick
gabe,T,gabriel
geo,T,george
georgie,T,george
gerry,T,gerald
ginny,T,virginia
girlz,T,girls
greg,T,gregory
gregg,T,gregory
grey,T,gray
gus,T,augustus
hallowe'en,T,halloween
halloween,T,halloween
hank,T,henry
harry,T,henry
hd,T,highdefinition
honour,T,honor
ii,T,2
iii,T,3
iv,T,4
ix,T,9
jack,T,john
jacque,T,jacques
jake,T,jacob
jamie,T,james
jan,T,janet
janie,T,jane
jeff,T,jeffrey
jeffery,T,jeffrey
jen,T,jennifer
jenny,T,jennifer
jerry,T,gerald
jim,T,james
jimmy,T,james
joe,T,joseph
joey,T,joseph
johnny,T,john
jon,T,john
jonny,T,john
josh,T,joshua
julie,T,julia
kat,T,catherine
kate,T,catherine
kathy,T,catherine
katie,T,catherine
ken,T,kenneth
kenny,T,kenneth
kiddo,T,kid
kidz,T,kids
larry,T,lawrence
len,T,leonard
lenny,T,leonard
leo,T,leonard
lite,T,light
liz,T,elizabeth
liza,T,elizabeth
lizzie,T,elizabeth
lou,T,louis
louie,T,louis
luv,T,love
maggie,T,margaret
marge,T,margaret
margie,T,margaret
marty,T,martin
matt,T,matthew
matty,T,matthew
max,T,maxwell
meg,T,margaret
mick,T,michael
micky,T,michael
mike,T,michael
mikey,T,michael
mitch,T,mitchell
mmorpg,T,massivelymultiplayer
moe,T,morris
nan,T,anne
nancy,T,anne
nat,T,nathaniel
nate,T,nathan
ned,T,edward
nell,T,eleanor
nick,T,nicholas
nicky,T,nicholas
nico,T,nicholas
nite,T,night
nora,T,eleanor
o.k.,T,okay
ok,T,okay
paddy,T,patrick
pat,T,patrick
patsy,T,patricia
patty,T,patricia
peggy,T,margaret
pete,T,peter
petey,T,peter
phil,T,philip
ray,T,raymond
reb,T,rebecca
reg,T,reginald
reggie,T,reginald
rich,T,richard
richie,T,richard
rick,T,richard
ricky,T,richard
rob,T,robert
robbie,T,robert
ron,T,ronald
ronnie,T,ronald
rpg,T,roleplaying
sam,T,samuel
sammy,T,samuel
sandy,T,alexandra
sci,T,science
sci-fi,T,sciencefiction
scifi,T,sciencefiction
shell,T,michelle
shelly,T,michelle
sid,T,sidney
starz,T,stars
steve,T,stephen
stevie,T,stephen
sue,T,susan
susie,T,susan
suzy,T,susan
ted,T,theodore
teddy,T,theodore
terry,T,terence
theatre,T,theater
theo,T,theodore
tho,T,though
thru,T,through
tim,T,timothy
timmy,T,timothy
tom,T,thomas
tommy,T,thomas
tony,T,anthony
traveller,T,traveler
trick,T,patrick
trish,T,patricia
trixie,T,beatrice
uhd,T,ultrahighdefinition
vi,T,6
vic,T,victor
vii,T,7
viii,T,8
vr,T,virtualreality
wally,T,walter
walt,T,walter
will,T,william
willy,T,william
xander,T,alexander
xi,T,11
xii,T,12
xiii,T,13
xiv,T,14
xix,T,19
xmas,T,christmas
xv,T,15
xvi,T,16
xvii,T,17
xviii,T,18
xx,T,20
xxi,T,21
xxii,T,22
xxiii,T,23
xxiv,T,24
xxix,T,29
xxv,T,25
xxvi,T,26
xxvii,T,27
xxviii,T,28
xxx,T,30
ya,T,you
zach,T,zachary
zack,T,zachary
